日期,機台編號,班別,工單號,產出數量,報廢數,停機時數,停機原因,操作員工號,備註
2026-06-25,CNC03,早班,WO2606253,203,5,2.9,未填,OP-134,
2026-06-04,CNC01,夜班,WO2606041,196,11,0.6,未填,OP-130,
2026-06-13,CNC03,早班,WO2606133,177,2,2.3,未填,OP-140,含報廢
2026-06-09,CNC02,夜班,WO2606092,193,7,1.3,未填,OP-137,
2026-06-23,CNC01,夜班,WO2606231,214,9,0.6,未填,OP-113,
2026-06-28,CNC02,早班,WO2606282,202,4,0.4,未填,OP-142,
2026-06-11,CNC04,早班,WO2606114,228,3,1.1,機台故障,OP-101,
2026-06-02,CNC02,夜班,WO2606022,204,5,0.7,未填,OP-128,
2026-06-08,CNC06,早班,WO2606086,206,6,0.6,未填,OP-145,
2026-06-08,CNC06,夜班,WO2606086,231,8,0.7,未填,OP-115,
2026-06-05,CNC03,夜班,WO2606053,187,7,3.9,其他,OP-148,
2026-06-19,CNC06,早班,WO2606196,219,6,0.6,未填,OP-126,
2026-06-24,CNC02,夜班,WO2606242,212,13,1.3,其他,OP-132,
2026-06-26,CNC06,早班,WO2606266,185,6,1.8,未填,OP-101,
2026-06-28,CNC01,早班,WO2606281,201,5,0.4,其他,OP-107,
2026-06-25,CNC02,早班,WO2606252,193,5,0.6,其他,OP-112,
2026-06-22,CNC02,夜班,WO2606222,225,8,1.5,未填,OP-108,含報廢
2026-06-18,CNC06,早班,WO2606186,210,6,0.4,其他,OP-106,
2026-06-04,CNC05,夜班,WO2606045,196,7,0.4,其他,OP-121,
2026-06-07,CNC02,夜班,WO2606072,216,6,0.7,未填,OP-133,
2026-06-15,CNC02,夜班,WO2606152,201,12,1.2,待料,OP-108,含報廢
2026-06-25,CNC01,夜班,WO2606251,188,10,0.4,未填,OP-108,
2026-06-25,CNC01,早班,WO2606251,176,3,1.4,未填,OP-147,
2026-06-12,CNC06,夜班,WO2606126,177,6,1.5,未填,OP-125,
2026-06-10,CNC05,早班,WO2606105,179,3,1.5,其他,OP-119,
2026-06-10,CNC03,早班,WO2606103,163,3,2.2,未填,OP-115,
2026-06-27,CNC06,夜班,WO2606276,228,15,1.0,其他,OP-109,
2026-06-06,CNC05,夜班,WO2606065,218,8,1.0,未填,OP-110,含報廢
2026-06-01,CNC06,夜班,WO2606016,222,6,0.5,機台故障,OP-141,
2026-06-29,CNC05,早班,WO2606295,200,6,0.7,刀具更換,OP-140,
2026-06-28,CNC02,夜班,WO2606282,198,12,0.4,未填,OP-107,含報廢
2026-06-15,CNC06,夜班,WO2606156,227,10,0.8,未填,OP-145,
2026-06-28,CNC06,早班,WO2606286,223,7,1.2,定期保養,OP-118,
2026-06-19,CNC04,夜班,WO2606194,227,8,0.3,未填,OP-104,
2026-06-29,CNC06,夜班,WO2606296,213,9,1.6,其他,OP-139,
2026-06-02,CNC03,夜班,WO2606023,195,9,4.2,品質異常調機,OP-143,
2026-06-27,CNC03,夜班,WO2606273,170,6,3.0,其他,OP-115,
2026-06-29,CNC05,夜班,WO2606295,214,11,0.5,其他,OP-117,
2026-06-30,CNC01,早班,WO2606301,225,6,0.9,未填,OP-116,
2026-06-18,CNC01,夜班,WO2606181,197,6,1.3,其他,OP-115,
2026-06-25,CNC06,夜班,WO2606256,223,14,0.5,其他,OP-146,
2026-06-18,CNC02,夜班,WO2606182,223,9,1.1,其他,OP-145,
2026-06-22,CNC06,早班,WO2606226,180,5,0.4,待料,OP-146,
2026-06-30,CNC05,早班,WO2606305,175,4,1.5,未填,OP-123,
2026-06-08,CNC03,早班,WO2606083,199,3,3.6,未填,OP-109,
2026-06-22,CNC05,夜班,WO2606225,192,12,1.3,未填,OP-122,
2026-06-19,CNC05,夜班,WO2606195,190,8,1.0,未填,OP-124,含報廢
2026-06-08,CNC03,夜班,WO2606083,164,6,3.5,其他,OP-114,
2026-06-03,CNC02,夜班,WO2606032,187,8,0.8,其他,OP-101,含報廢
2026-06-26,CNC06,夜班,WO2606266,211,15,1.1,其他,OP-116,
2026-06-24,CNC03,夜班,WO2606243,168,12,2.6,未填,OP-134,
2026-06-14,CNC04,夜班,WO2606144,215,8,0.7,未填,OP-109,
2026-06-26,CNC05,夜班,WO2606265,213,15,1.5,其他,OP-123,
2026-06-17,CNC05,夜班,WO2606175,217,13,0.3,品質異常調機,OP-145,含報廢
2026-06-09,CNC03,夜班,WO2606093,192,12,2.9,換線,OP-109,
2026-06-19,CNC02,夜班,WO2606192,183,8,1.8,其他,OP-132,
2026-06-04,CNC03,早班,WO2606043,184,3,3.5,其他,OP-115,
2026-06-07,CNC03,早班,WO2606073,159,4,4.8,其他,OP-126,
2026-06-01,CNC02,早班,WO2606012,178,2,0.7,未填,OP-138,
2026-06-05,CNC06,夜班,WO2606056,215,6,0.5,未填,OP-146,
2026-06-17,CNC06,夜班,WO2606176,174,9,1.2,未填,OP-108,
2026-06-13,CNC06,夜班,WO2606136,205,8,1.7,未填,OP-134,
2026-06-18,CNC03,早班,WO2606183,214,6,2.9,未填,OP-114,含報廢
2026-06-11,CNC06,夜班,WO2606116,224,6,1.0,未填,OP-143,
2026-06-06,CNC02,早班,WO2606062,199,5,0.8,其他,OP-131,
2026-06-27,CNC01,夜班,WO2606271,203,9,1.2,其他,OP-101,
2026-06-17,CNC05,早班,WO2606175,183,5,0.8,未填,OP-133,
2026-06-23,CNC06,早班,WO2606236,177,4,1.4,未填,OP-124,含報廢
2026-06-02,CNC01,早班,WO2606021,203,2,0.6,未填,OP-104,含報廢
2026-06-02,CNC05,早班,WO2606025,222,4,1.7,未填,OP-124,
2026-06-14,CNC04,早班,WO2606144,185,3,1.3,待料,OP-117,
2026-06-05,CNC04,早班,WO2606054,207,4,1.3,未填,OP-108,
2026-06-12,CNC03,夜班,WO2606123,179,7,4.4,未填,OP-101,
2026-06-21,CNC03,夜班,WO2606213,195,11,3.3,刀具更換,OP-112,
2026-06-20,CNC05,夜班,WO2606205,195,6,0.5,其他,OP-115,
2026-06-01,CNC03,夜班,WO2606013,209,8,3.0,未填,OP-111,
2026-06-11,CNC05,夜班,WO2606115,214,13,1.5,未填,OP-121,
2026-06-24,CNC05,早班,WO2606245,209,7,1.7,未填,OP-107,
2026-06-09,CNC01,夜班,WO2606091,241,13,0.7,未填,OP-113,含報廢
2026-06-09,CNC05,夜班,WO2606095,187,8,0.7,未填,OP-106,
2026-06-01,CNC06,早班,WO2606016,222,5,0.3,未填,OP-132,
2026-06-14,CNC02,早班,WO2606142,212,4,0.4,刀具更換,OP-106,
2026-06-28,CNC05,夜班,WO2606285,236,16,1.8,未填,OP-130,
2026-06-10,CNC04,夜班,WO2606104,221,11,1.2,定期保養,OP-118,
2026-06-05,CNC06,早班,WO2606056,195,4,0.6,品質異常調機,OP-131,含報廢
2026-06-18,CNC06,夜班,WO2606186,232,7,0.6,未填,OP-107,含報廢
2026-06-11,CNC06,早班,WO2606116,203,3,0.9,定期保養,OP-116,
2026-06-24,CNC01,早班,WO2606241,191,3,1.5,其他,OP-129,
2026-06-30,CNC03,夜班,WO2606303,194,8,2.5,未填,OP-107,
2026-06-04,CNC06,早班,WO2606046,218,5,0.9,其他,OP-113,
2026-06-07,CNC06,夜班,WO2606076,191,5,0.4,機台故障,OP-108,
2026-06-12,CNC02,早班,WO2606122,192,5,0.2,其他,OP-108,
2026-06-08,CNC05,早班,WO2606085,220,4,1.3,其他,OP-148,
2026-06-22,CNC04,夜班,WO2606224,209,12,1.4,其他,OP-116,
2026-06-27,CNC04,早班,WO2606274,222,8,0.4,其他,OP-117,
2026-06-23,CNC01,早班,WO2606231,179,3,0.6,未填,OP-114,
2026-06-30,CNC06,夜班,WO2606306,192,6,1.8,未填,OP-111,含報廢
2026-06-27,CNC04,夜班,WO2606274,204,7,0.6,其他,OP-124,
2026-06-07,CNC03,夜班,WO2606073,201,11,3.6,未填,OP-138,
2026-06-20,CNC06,早班,WO2606206,207,6,0.9,品質異常調機,OP-148,
2026-06-18,CNC01,早班,WO2606181,223,6,0.2,其他,OP-125,
2026-06-29,CNC03,夜班,WO2606293,180,8,3.4,未填,OP-115,含報廢
2026-06-05,CNC03,早班,WO2606053,163,3,3.1,未填,OP-116,
2026-06-05,CNC05,夜班,WO2606055,173,7,1.7,其他,OP-104,
2026-06-02,CNC04,早班,WO2606024,201,2,0.2,未填,OP-118,
2026-06-17,CNC03,夜班,WO2606173,174,6,3.2,未填,OP-142,
2026-06-05,CNC02,早班,WO2606052,221,3,1.8,其他,OP-106,
2026-06-18,CNC04,早班,WO2606184,187,5,1.1,其他,OP-109,含報廢
2026-06-30,CNC01,夜班,WO2606301,217,9,0.8,未填,OP-136,
2026-06-23,CNC02,夜班,WO2606232,203,8,1.4,其他,OP-128,
2026-06-26,CNC03,早班,WO2606263,192,4,4.5,未填,OP-119,
2026-06-29,CNC02,早班,WO2606292,183,6,1.6,其他,OP-102,
2026-06-23,CNC04,早班,WO2606234,195,5,1.5,待料,OP-132,
2026-06-24,CNC04,早班,WO2606244,215,7,0.6,未填,OP-125,
2026-06-19,CNC01,早班,WO2606191,169,3,1.5,其他,OP-117,
2026-06-30,CNC02,夜班,WO2606302,181,9,1.8,未填,OP-105,
2026-06-12,CNC02,夜班,WO2606122,192,10,120.0,未填,OP-147,含報廢
2026-06-11,CNC02,早班,WO2606112,212,4,0.4,未填,OP-128,
2026-06-21,CNC02,早班,WO2606212,231,6,0.4,未填,OP-111,
2026-06-08,CNC04,早班,WO2606084,197,5,0.4,未填,OP-127,
2026-06-23,CNC02,早班,WO2606232,182,5,1.5,未填,OP-104,
2026-06-10,CNC01,夜班,WO2606101,218,12,0.6,其他,OP-113,
2026-06-09,CNC06,早班,WO2606096,170,3,1.8,未填,OP-125,
2026-06-24,CNC06,夜班,WO2606246,210,11,0.4,品質異常調機,OP-117,
2026-06-01,CNC02,夜班,WO2606012,229,9,0.9,其他,OP-118,
2026-06-17,CNC02,早班,WO2606172,188,6,0.6,未填,OP-116,
2026-06-07,CNC05,早班,WO2606075,187,4,30.0,其他,OP-145,
2026-06-05,CNC01,夜班,WO2606051,207,6,0.4,其他,OP-142,含報廢
2026-06-29,CNC03,早班,WO2606293,155,3,3.7,未填,OP-145,
2026-06-18,CNC04,夜班,WO2606184,213,12,1.6,其他,OP-144,
2026-06-02,CNC06,早班,WO2606026,189,2,1.5,未填,OP-111,
2026-06-22,CNC01,夜班,WO2606221,175,10,1.2,換線,OP-130,
2026-06-03,CNC03,早班,WO2606033,159,4,4.5,換線,OP-107,
2026-06-16,CNC03,早班,WO2606163,201,4,2.8,未填,OP-117,
2026-06-21,CNC01,夜班,WO2606211,213,13,0.7,其他,OP-118,
2026-06-05,CNC01,夜班,WO2606051,207,6,0.4,其他,OP-142,含報廢
2026-06-14,CNC05,早班,WO2606145,218,3,0.3,其他,OP-136,
2026-06-03,CNC01,早班,WO2606031,170,4,1.5,其他,OP-132,
2026-06-29,CNC02,夜班,WO2606292,208,8,1.4,未填,OP-104,
2026-06-05,CNC04,夜班,WO2606054,224,12,1.1,其他,OP-136,
2026-06-27,CNC01,早班,WO2606271,184,4,0.9,品質異常調機,OP-114,
2026-06-29,CNC06,早班,WO2606296,225,5,1.1,未填,OP-134,
2026-06-24,CNC03,早班,WO2606243,168,2,4.5,其他,OP-112,
2026-06-27,CNC06,早班,WO2606276,173,5,1.6,未填,OP-146,
2026-06-04,CNC02,早班,WO2606042,170,3,1.3,其他,OP-135,
2026-06-20,CNC02,夜班,WO2606202,219,9,0.6,品質異常調機,OP-145,
2026-06-14,CNC06,早班,WO2606146,177,4,1.2,未填,OP-138,
2026-06-10,CNC04,早班,WO2606104,215,3,1.4,未填,OP-117,
2026-06-22,CNC01,早班,WO2606221,190,4,1.4,未填,OP-101,
2026-06-17,CNC04,早班,WO2606174,223,4,0.4,刀具更換,OP-116,
2026-06-16,CNC03,夜班,WO2606163,192,6,2.4,其他,OP-129,含報廢
2026-06-01,CNC03,早班,WO2606013,182,2,2.6,未填,OP-145,
2026-06-25,CNC05,早班,WO2606255,204,3,0.6,未填,OP-132,
2026-06-14,CNC01,早班,WO2606141,222,7,1.7,未填,OP-131,
2026-06-21,CNC05,早班,WO2606215,228,7,1.1,未填,OP-104,
2026-06-25,CNC03,夜班,WO2606253,183,8,3.5,未填,OP-112,
2026-06-26,CNC01,夜班,WO2606261,170,6,1.7,未填,OP-121,
2026-06-22,CNC03,早班,WO2606223,194,4,3.9,其他,OP-135,
2026-06-20,CNC03,早班,WO2606203,192,4,3.3,其他,OP-114,
2026-06-22,CNC03,夜班,WO2606223,198,12,4.1,未填,OP-101,
2026-06-14,CNC02,夜班,WO2606142,217,9,0.3,未填,OP-117,
2026-06-02,CNC06,夜班,WO2606026,232,7,0.6,未填,OP-145,
2026-06-07,CNC01,早班,WO2606071,199,5,1.6,未填,OP-103,
2026-06-26,CNC02,早班,WO2606262,229,5,0.3,未填,OP-115,
2026-06-13,CNC04,早班,WO2606134,191,5,0.9,未填,OP-107,含報廢
2026-06-07,CNC04,早班,WO2606074,185,5,1.6,其他,OP-132,
2026-06-08,CNC01,早班,WO2606081,171,4,1.3,未填,OP-136,
2026-06-30,CNC06,早班,WO2606306,168,3,1.7,其他,OP-137,
2026-06-27,CNC03,早班,WO2606273,174,4,3.3,換線,OP-147,
2026-06-06,CNC06,早班,WO2606066,195,5,1.3,未填,OP-148,
2026-06-16,CNC02,夜班,WO2606162,196,6,1.7,定期保養,OP-112,
2026-06-09,CNC04,早班,WO2606094,177,4,1.8,其他,OP-105,
2026-06-04,CNC04,早班,WO2606044,189,2,1.7,其他,OP-144,
2026-06-30,CNC02,早班,WO2606302,237,7,0.6,未填,OP-144,含報廢
2026-06-10,CNC02,夜班,WO2606102,205,9,0.8,未填,OP-140,
2026-06-06,CNC06,夜班,WO2606066,205,11,1.7,未填,OP-141,
2026-06-25,CNC04,夜班,WO2606254,194,10,1.5,未填,OP-114,
2026-06-26,CNC02,夜班,WO2606262,231,12,1.0,其他,OP-136,
2026-06-18,CNC02,早班,WO2606182,218,3,0.9,其他,OP-120,
2026-06-13,CNC02,夜班,WO2606132,198,11,1.0,其他,OP-126,含報廢
