日期,機台編號,班別,工單號,產出數量,報廢數,停機時數,停機原因,操作員工號,備註
0621,CNC06,夜班,WO2606216,196,13,0.5,其他,OP-101,
0623,六號機,夜班,WO2606236,182,7,1.6,未填,OP-141,
0610,cnc 5,夜班,WO2606105,213,12,0.4,其他,OP-143,
0604,CNC05,早班,WO2606045,184,3,0.8,刀具更換,OP-109,
0628,cnc 4,早班,WO2606284,235,7,0.6,其他,OP-118,
2026/6/19,cnc 3,夜班,WO2606193,174,6,4.8,未填,OP-114,
0628,cnc 3,夜班,WO2606283,170,9,3.0,其他,OP-103,含報廢
2026/6/21,一號機,早班,WO2606211,218,4,0.3,未填,OP-126,
2026/6/17,CNC01,夜班,WO2606171,231,12,0.8,未填,OP-148,
2026/6/9,CNC06,夜班,WO2606096,181,6,1.2,其他,OP-137,
6月2日,cnc 1,夜班,WO2606021,187,7,0.5,未填,OP-143,含報廢
0612,CNC05,早班,WO2606125,197,4,1.8,未填,OP-127,含報廢
0618,cnc 5,夜班,WO2606185,224,9,1.3,其他,OP-109,
0611,一號機,早班,WO2606111,191,3,1.6,未填,OP-102,
6月16日,六號機,早班,WO2606166,187,5,1.4,未填,OP-110,含報廢
6月10日,cnc 6,早班,WO2606106,181,4,0.5,待料,OP-110,
2026/6/8,二號機,夜班,WO2606082,243,14,0.9,其他,OP-140,含報廢
0606,二號機,夜班,WO2606062,225,12,1.1,刀具更換,OP-133,
0616,cnc 2,早班,WO2606162,209,4,1.3,其他,OP-126,
6月6日,cnc 4,夜班,WO2606064,219,11,1.8,未填,OP-136,
2026/6/26,四號機,早班,WO2606264,205,5,0.8,未填,OP-105,含報廢
6月15日,五號機,夜班,WO2606155,217,8,0.8,其他,OP-106,
0625,cnc 4,早班,WO2606254,222,3,1.3,未填,OP-101,
0610,CNC01,早班,WO2606101,204,4,0.3,未填,OP-147,
6月9日,一號機,早班,WO2606091,212,4,0.4,其他,OP-126,
0621,CNC06,早班,WO2606216,213,3,0.5,未填,OP-145,含報廢
2026/6/13,一號機,夜班,WO2606131,175,8,1.8,品質異常調機,OP-115,
2026/6/24,四號機,夜班,WO2606244,187,10,1.4,其他,OP-130,含報廢
6月18日,三號機,夜班,WO2606183,153,9,4.1,未填,OP-120,
6月25日,cnc 6,早班,WO2606256,232,5,0.4,機台故障,OP-140,
6月9日,四號機,夜班,WO2606094,199,9,0.4,未填,OP-104,含報廢
0615,一號機,早班,WO2606151,189,4,0.4,其他,OP-124,
2026/6/3,五號機,早班,WO2606035,194,5,0.2,其他,OP-105,
6月1日,cnc 4,夜班,WO2606014,189,9,1.1,未填,OP-138,
0627,CNC02,夜班,WO2606272,216,11,1.1,未填,OP-104,
2026/6/7,五號機,夜班,WO2606075,180,4,1.1,未填,OP-117,
6月14日,六號機,夜班,WO2606146,223,12,1.2,未填,OP-113,
6月3日,cnc 3,夜班,WO2606033,193,5,3.7,定期保養,OP-133,
2026/6/20,六號機,夜班,WO2606206,224,11,1.5,其他,OP-143,
2026/6/15,cnc 3,早班,WO2606153,190,2,3.3,其他,OP-127,
6月10日,CNC06,夜班,WO2606106,221,9,1.7,刀具更換,OP-105,
6月2日,CNC05,夜班,WO2606025,239,12,0.8,其他,OP-115,
0613,四號機,夜班,WO2606134,179,6,1.7,刀具更換,OP-118,
0620,CNC01,夜班,WO2606201,226,9,0.5,其他,OP-123,
6月24日,CNC02,早班,WO2606242,221,7,1.4,刀具更換,OP-126,
0601,cnc 5,早班,WO2606015,201,3,1.8,其他,OP-105,
2026/6/21,CNC05,夜班,WO2606215,188,10,0.9,未填,OP-112,
6月28日,cnc 3,早班,WO2606283,187,5,3.5,未填,OP-125,
6月15日,五號機,早班,WO2606155,201,3,1.5,其他,OP-118,
6月11日,CNC05,早班,WO2606115,187,3,1.0,定期保養,OP-143,
2026/6/3,cnc 6,早班,WO2606036,206,3,1.2,未填,OP-138,
2026/6/24,CNC05,夜班,WO2606245,225,9,0.6,未填,OP-111,
0615,三號機,夜班,WO2606153,181,12,3.9,其他,OP-140,
0608,CNC05,夜班,WO2606085,228,11,1.3,未填,OP-120,含報廢
2026/6/17,CNC06,早班,WO2606176,191,3,0.9,未填,OP-146,
0604,CNC04,夜班,WO2606044,205,6,0.3,定期保養,OP-147,
6月15日,cnc 2,早班,WO2606152,173,3,1.2,未填,OP-112,
0604,三號機,夜班,WO2606043,202,8,3.5,機台故障,OP-140,
6月17日,cnc 2,夜班,WO2606172,224,9,0.3,未填,OP-142,
2026/6/17,四號機,夜班,WO2606174,231,8,1.4,未填,OP-131,
0612,六號機,早班,WO2606126,188,4,0.3,品質異常調機,OP-142,
0628,CNC06,夜班,WO2606286,200,13,1.5,未填,OP-125,
2026/6/20,四號機,早班,WO2606204,207,3,1.2,其他,OP-124,
6月11日,三號機,夜班,WO2606113,164,7,3.3,其他,OP-144,
2026/6/19,cnc 1,夜班,WO2606191,218,12,1.8,其他,OP-113,
0608,四號機,夜班,WO2606084,217,9,1.3,未填,OP-113,
0616,一號機,早班,WO2606161,208,6,0.7,未填,OP-103,
6月16日,四號機,夜班,WO2606164,170,8,1.6,未填,OP-146,
6月6日,一號機,早班,WO2606061,194,4,0.7,其他,OP-102,
2026/6/11,cnc 4,夜班,WO2606114,182,11,1.5,其他,OP-114,
0619,cnc 6,夜班,WO2606196,206,7,0.7,其他,OP-132,
6月3日,五號機,夜班,WO2606035,215,11,1.4,未填,OP-126,含報廢
2026/6/24,CNC06,早班,WO2606246,214,5,0.7,未填,OP-130,
6月21日,CNC03,早班,WO2606213,159,2,3.7,未填,OP-143,
0619,cnc 5,早班,WO2606195,203,3,1.5,未填,OP-143,
6月26日,cnc 5,早班,WO2606265,190,5,1.0,其他,OP-111,
0627,二號機,早班,WO2606272,205,4,1.5,未填,OP-146,
6月26日,CNC04,夜班,WO2606264,223,13,1.6,刀具更換,OP-129,
0620,三號機,夜班,WO2606203,186,8,4.3,未填,OP-128,
0615,六號機,早班,WO2606156,172,4,1.1,機台故障,OP-116,
0616,四號機,早班,WO2606164,216,3,0.4,未填,OP-108,含報廢
6月16日,五號機,夜班,WO2606165,181,10,0.4,其他,OP-108,
2026/6/5,CNC05,早班,WO2606055,174,3,1.6,其他,OP-132,
6月2日,cnc 3,早班,WO2606023,158,2,4.7,未填,OP-120,
6月23日,五號機,夜班,WO2606235,199,10,0.9,其他,OP-111,
2026/6/25,CNC02,夜班,WO2606252,174,7,1.8,品質異常調機,OP-142,
2026/6/22,CNC05,早班,WO2606225,180,5,1.6,其他,OP-124,含報廢
0630,CNC05,夜班,WO2606305,184,6,1.0,其他,OP-139,
2026/6/11,三號機,早班,WO2606113,197,5,3.3,未填,OP-139,
0609,二號機,早班,WO2606092,185,2,0.7,其他,OP-134,
0613,五號機,夜班,WO2606135,187,10,1.2,未填,OP-105,
0623,三號機,夜班,WO2606233,161,8,4.0,其他,OP-142,
0629,CNC01,早班,WO2606291,191,6,0.5,其他,OP-139,
0629,CNC04,夜班,WO2606294,218,17,1.5,未填,OP-131,
2026/6/6,cnc 5,早班,WO2606065,202,5,0.3,未填,OP-132,
0602,cnc 4,夜班,WO2606024,226,7,1.1,其他,OP-111,
0608,CNC05,夜班,WO2606085,228,11,1.3,未填,OP-120,含報廢
0615,CNC04,早班,WO2606154,225,6,0.8,未填,OP-128,
0604,CNC06,夜班,WO2606046,209,5,1.3,未填,OP-133,
0603,CNC02,早班,WO2606032,189,3,0.9,其他,OP-135,
6月13日,CNC02,早班,WO2606132,184,4,1.5,未填,OP-118,
0603,CNC04,早班,WO2606034,200,3,0.7,未填,OP-115,
0614,cnc 1,夜班,WO2606141,246,11,0.4,未填,OP-137,
0611,CNC01,夜班,WO2606111,171,10,1.6,未填,OP-103,
2026/6/14,五號機,夜班,WO2606145,184,11,0.5,未填,OP-102,
6月13日,cnc 1,早班,WO2606131,225,4,1.2,機台故障,OP-134,
6月15日,CNC01,夜班,WO2606151,225,12,0.9,未填,OP-143,
2026/6/24,CNC01,夜班,WO2606241,198,6,0.4,機台故障,OP-105,
2026/6/4,cnc 2,夜班,WO2606042,231,10,0.3,定期保養,OP-120,
0616,cnc 1,夜班,WO2606161,204,11,0.9,其他,OP-148,
2026/6/12,cnc 4,早班,WO2606124,203,3,1.3,未填,OP-128,
0623,cnc 4,夜班,WO2606234,177,8,0.4,未填,OP-103,
2026/6/12,cnc 5,夜班,WO2606125,197,12,1.6,待料,OP-147,
0627,五號機,夜班,WO2606275,190,6,1.0,其他,OP-104,
0628,cnc 4,夜班,WO2606284,235,15,0.7,未填,OP-123,含報廢
0610,cnc 2,早班,WO2606102,233,6,0.4,定期保養,OP-124,
6月16日,CNC06,夜班,WO2606166,179,10,1.1,未填,OP-131,
0613,cnc 6,早班,WO2606136,169,3,1.7,刀具更換,OP-103,
6月12日,三號機,早班,WO2606123,213,4,3.0,未填,OP-130,
6月2日,cnc 2,早班,WO2606022,225,5,0.3,未填,OP-116,
0630,cnc 4,夜班,WO2606304,180,8,0.9,未填,OP-103,
6月9日,三號機,早班,WO2606093,208,3,2.7,其他,OP-129,
6月6日,CNC04,早班,WO2606064,178,4,0.5,未填,OP-106,
2026/6/12,cnc 4,夜班,WO2606124,185,5,0.9,其他,OP-106,
6月16日,五號機,早班,WO2606165,177,3,0.6,未填,OP-147,
0626,CNC01,早班,WO2606261,214,4,0.7,換線,OP-142,含報廢
2026/6/28,cnc 1,夜班,WO2606281,188,8,1.2,定期保養,OP-109,
6月5日,一號機,早班,WO2606051,196,3,0.6,未填,OP-128,
0614,三號機,夜班,WO2606143,170,9,3.3,未填,OP-148,
2026/6/17,cnc 1,早班,WO2606171,209,3,0.2,刀具更換,OP-137,
0630,CNC05,夜班,WO2606305,184,6,1.0,其他,OP-139,
0627,CNC05,早班,WO2606275,225,4,1.3,換線,OP-140,
2026/6/6,三號機,夜班,WO2606063,208,5,2.2,未填,OP-118,含報廢
2026/6/20,CNC05,早班,WO2606205,177,3,1.3,其他,OP-136,
0601,cnc 1,早班,WO2606011,201,4,0.3,未填,OP-148,
0613,cnc 5,早班,WO2606135,188,2,1.2,未填,OP-130,
6月23日,CNC03,早班,WO2606233,188,4,3.9,其他,OP-118,
6月12日,cnc 1,早班,WO2606121,197,3,1.2,未填,OP-127,
6月6日,cnc 3,早班,WO2606063,194,3,4.1,未填,OP-139,
2026/6/25,三號機,早班,WO2606253,203,5,2.9,未填,OP-134,
2026/6/4,CNC01,夜班,WO2606041,196,11,0.6,未填,OP-130,
6月13日,cnc 3,早班,WO2606133,177,2,2.3,未填,OP-140,含報廢
6月9日,二號機,夜班,WO2606092,193,7,1.3,未填,OP-137,
0623,cnc 1,夜班,WO2606231,214,9,0.6,未填,OP-113,
6月28日,cnc 2,早班,WO2606282,202,4,0.4,未填,OP-142,
0611,CNC04,早班,WO2606114,228,3,1.1,機台故障,OP-101,
6月2日,二號機,夜班,WO2606022,204,5,0.7,未填,OP-128,
0608,cnc 6,早班,WO2606086,206,6,0.6,未填,OP-145,
6月8日,cnc 6,夜班,WO2606086,231,8,0.7,未填,OP-115,
2026/6/5,cnc 3,夜班,WO2606053,187,7,3.9,其他,OP-148,
2026/6/19,CNC06,早班,WO2606196,219,6,0.6,未填,OP-126,
6月24日,cnc 2,夜班,WO2606242,212,13,1.3,其他,OP-132,
0626,cnc 6,早班,WO2606266,185,6,1.8,未填,OP-101,
2026/6/28,cnc 1,早班,WO2606281,201,5,0.4,其他,OP-107,
6月25日,cnc 2,早班,WO2606252,193,5,0.6,其他,OP-112,
6月22日,二號機,夜班,WO2606222,225,8,1.5,未填,OP-108,含報廢
0618,cnc 6,早班,WO2606186,210,6,0.4,其他,OP-106,
2026/6/4,CNC05,夜班,WO2606045,196,7,0.4,其他,OP-121,
2026/6/7,CNC02,夜班,WO2606072,216,6,0.7,未填,OP-133,
0615,二號機,夜班,WO2606152,201,12,1.2,待料,OP-108,含報廢
2026/6/25,一號機,夜班,WO2606251,188,10,0.4,未填,OP-108,
0625,CNC01,早班,WO2606251,176,3,1.4,未填,OP-147,
6月12日,CNC06,夜班,WO2606126,177,6,1.5,未填,OP-125,
0610,cnc 5,早班,WO2606105,179,3,1.5,其他,OP-119,
0610,cnc 3,早班,WO2606103,163,3,2.2,未填,OP-115,
0627,cnc 6,夜班,WO2606276,228,15,1.0,其他,OP-109,
0606,cnc 5,夜班,WO2606065,218,8,1.0,未填,OP-110,含報廢
2026/6/1,六號機,夜班,WO2606016,222,6,0.5,機台故障,OP-141,
0629,五號機,早班,WO2606295,200,6,0.7,刀具更換,OP-140,
2026/6/28,cnc 2,夜班,WO2606282,198,12,0.4,未填,OP-107,含報廢
2026/6/15,六號機,夜班,WO2606156,227,10,0.8,未填,OP-145,
6月28日,六號機,早班,WO2606286,223,7,1.2,定期保養,OP-118,
0619,cnc 4,夜班,WO2606194,227,8,0.3,未填,OP-104,
6月29日,cnc 6,夜班,WO2606296,213,9,1.6,其他,OP-139,
0602,cnc 3,夜班,WO2606023,195,9,4.2,品質異常調機,OP-143,
2026/6/27,cnc 3,夜班,WO2606273,170,6,3.0,其他,OP-115,
2026/6/29,CNC05,夜班,WO2606295,214,11,0.5,其他,OP-117,
6月30日,CNC01,早班,WO2606301,225,6,0.9,未填,OP-116,
2026/6/18,一號機,夜班,WO2606181,197,6,1.3,其他,OP-115,
2026/6/25,cnc 6,夜班,WO2606256,223,14,0.5,其他,OP-146,
6月18日,cnc 2,夜班,WO2606182,223,9,1.1,其他,OP-145,
2026/6/22,cnc 6,早班,WO2606226,180,5,0.4,待料,OP-146,
0630,五號機,早班,WO2606305,175,4,1.5,未填,OP-123,
2026/6/8,三號機,早班,WO2606083,199,3,3.6,未填,OP-109,
6月22日,CNC05,夜班,WO2606225,192,12,1.3,未填,OP-122,
2026/6/19,CNC05,夜班,WO2606195,190,8,1.0,未填,OP-124,含報廢
2026/6/8,三號機,夜班,WO2606083,164,6,3.5,其他,OP-114,
6月3日,cnc 2,夜班,WO2606032,187,8,0.8,其他,OP-101,含報廢
2026/6/26,CNC06,夜班,WO2606266,211,15,1.1,其他,OP-116,
2026/6/24,三號機,夜班,WO2606243,168,12,2.6,未填,OP-134,
2026/6/14,四號機,夜班,WO2606144,215,8,0.7,未填,OP-109,
6月26日,cnc 5,夜班,WO2606265,213,15,1.5,其他,OP-123,
2026/6/17,五號機,夜班,WO2606175,217,13,0.3,品質異常調機,OP-145,含報廢
6月9日,三號機,夜班,WO2606093,192,12,2.9,換線,OP-109,
6月19日,CNC02,夜班,WO2606192,183,8,1.8,其他,OP-132,
0604,cnc 3,早班,WO2606043,184,3,3.5,其他,OP-115,
0607,cnc 3,早班,WO2606073,159,4,4.8,其他,OP-126,
6月1日,CNC02,早班,WO2606012,178,2,0.7,未填,OP-138,
2026/6/5,cnc 6,夜班,WO2606056,215,6,0.5,未填,OP-146,
6月17日,cnc 6,夜班,WO2606176,174,9,1.2,未填,OP-108,
6月13日,cnc 6,夜班,WO2606136,205,8,1.7,未填,OP-134,
6月18日,三號機,早班,WO2606183,214,6,2.9,未填,OP-114,含報廢
6月11日,六號機,夜班,WO2606116,224,6,1.0,未填,OP-143,
2026/6/6,cnc 2,早班,WO2606062,199,5,0.8,其他,OP-131,
2026/6/27,一號機,夜班,WO2606271,203,9,1.2,其他,OP-101,
2026/6/17,cnc 5,早班,WO2606175,183,5,0.8,未填,OP-133,
2026/6/23,六號機,早班,WO2606236,177,4,1.4,未填,OP-124,含報廢
0602,CNC01,早班,WO2606021,203,2,0.6,未填,OP-104,含報廢
6月2日,五號機,早班,WO2606025,222,4,1.7,未填,OP-124,
0614,CNC04,早班,WO2606144,185,3,1.3,待料,OP-117,
0605,CNC04,早班,WO2606054,207,4,1.3,未填,OP-108,
2026/6/12,CNC03,夜班,WO2606123,179,7,4.4,未填,OP-101,
0621,三號機,夜班,WO2606213,195,11,3.3,刀具更換,OP-112,
0620,五號機,夜班,WO2606205,195,6,0.5,其他,OP-115,
2026/6/1,三號機,夜班,WO2606013,209,8,3.0,未填,OP-111,
6月11日,五號機,夜班,WO2606115,214,13,1.5,未填,OP-121,
2026/6/24,cnc 5,早班,WO2606245,209,7,1.7,未填,OP-107,
0609,cnc 1,夜班,WO2606091,241,13,0.7,未填,OP-113,含報廢
2026/6/9,cnc 5,夜班,WO2606095,187,8,0.7,未填,OP-106,
0601,六號機,早班,WO2606016,222,5,0.3,未填,OP-132,
2026/6/14,cnc 2,早班,WO2606142,212,4,0.4,刀具更換,OP-106,
6月28日,五號機,夜班,WO2606285,236,16,1.8,未填,OP-130,
2026/6/10,CNC04,夜班,WO2606104,221,11,1.2,定期保養,OP-118,
6月5日,CNC06,早班,WO2606056,195,4,0.6,品質異常調機,OP-131,含報廢
6月18日,CNC06,夜班,WO2606186,232,7,0.6,未填,OP-107,含報廢
2026/6/11,CNC06,早班,WO2606116,203,3,0.9,定期保養,OP-116,
0624,CNC01,早班,WO2606241,191,3,1.5,其他,OP-129,
2026/6/30,CNC03,夜班,WO2606303,194,8,2.5,未填,OP-107,
0604,六號機,早班,WO2606046,218,5,0.9,其他,OP-113,
2026/6/7,cnc 6,夜班,WO2606076,191,5,0.4,機台故障,OP-108,
6月12日,CNC02,早班,WO2606122,192,5,0.2,其他,OP-108,
0608,cnc 5,早班,WO2606085,220,4,1.3,其他,OP-148,
2026/6/22,CNC04,夜班,WO2606224,209,12,1.4,其他,OP-116,
6月27日,cnc 4,早班,WO2606274,222,8,0.4,其他,OP-117,
2026/6/23,cnc 1,早班,WO2606231,179,3,0.6,未填,OP-114,
0630,CNC06,夜班,WO2606306,192,6,1.8,未填,OP-111,含報廢
6月27日,CNC04,夜班,WO2606274,204,7,0.6,其他,OP-124,
6月7日,CNC03,夜班,WO2606073,201,11,3.6,未填,OP-138,
6月20日,cnc 6,早班,WO2606206,207,6,0.9,品質異常調機,OP-148,
2026/6/18,CNC01,早班,WO2606181,223,6,0.2,其他,OP-125,
6月29日,cnc 3,夜班,WO2606293,180,8,3.4,未填,OP-115,含報廢
2026/6/5,CNC03,早班,WO2606053,163,3,3.1,未填,OP-116,
2026/6/5,五號機,夜班,WO2606055,173,7,1.7,其他,OP-104,
2026/6/2,四號機,早班,WO2606024,201,2,0.2,未填,OP-118,
2026/6/17,三號機,夜班,WO2606173,174,6,3.2,未填,OP-142,
6月5日,cnc 2,早班,WO2606052,221,3,1.8,其他,OP-106,
6月18日,cnc 4,早班,WO2606184,187,5,1.1,其他,OP-109,含報廢
6月30日,CNC01,夜班,WO2606301,217,9,0.8,未填,OP-136,
6月23日,cnc 2,夜班,WO2606232,203,8,1.4,其他,OP-128,
6月26日,三號機,早班,WO2606263,192,4,4.5,未填,OP-119,
0629,CNC02,早班,WO2606292,183,6,1.6,其他,OP-102,
0623,cnc 4,早班,WO2606234,195,5,1.5,待料,OP-132,
0624,cnc 4,早班,WO2606244,215,7,0.6,未填,OP-125,
2026/6/19,cnc 1,早班,WO2606191,169,3,1.5,其他,OP-117,
0630,cnc 2,夜班,WO2606302,181,9,1.8,未填,OP-105,
2026/6/12,cnc 2,夜班,WO2606122,192,10,120.0,未填,OP-147,含報廢
2026/6/11,cnc 2,早班,WO2606112,212,4,0.4,未填,OP-128,
2026/6/21,cnc 2,早班,WO2606212,231,6,0.4,未填,OP-111,
2026/6/8,CNC04,早班,WO2606084,197,5,0.4,未填,OP-127,
2026/6/23,二號機,早班,WO2606232,182,5,1.5,未填,OP-104,
6月10日,cnc 1,夜班,WO2606101,218,12,0.6,其他,OP-113,
0609,CNC06,早班,WO2606096,170,3,1.8,未填,OP-125,
0624,cnc 6,夜班,WO2606246,210,11,0.4,品質異常調機,OP-117,
6月1日,二號機,夜班,WO2606012,229,9,0.9,其他,OP-118,
0617,cnc 2,早班,WO2606172,188,6,0.6,未填,OP-116,
6月7日,cnc 5,早班,WO2606075,187,4,30.0,其他,OP-145,
2026/6/5,cnc 1,夜班,WO2606051,207,6,0.4,其他,OP-142,含報廢
2026/6/29,cnc 3,早班,WO2606293,155,3,3.7,未填,OP-145,
0618,四號機,夜班,WO2606184,213,12,1.6,其他,OP-144,
2026/6/2,CNC06,早班,WO2606026,189,2,1.5,未填,OP-111,
2026/6/22,cnc 1,夜班,WO2606221,175,10,1.2,換線,OP-130,
6月3日,cnc 3,早班,WO2606033,159,4,4.5,換線,OP-107,
2026/6/16,三號機,早班,WO2606163,201,4,2.8,未填,OP-117,
6月21日,CNC01,夜班,WO2606211,213,13,0.7,其他,OP-118,
2026/6/5,cnc 1,夜班,WO2606051,207,6,0.4,其他,OP-142,含報廢
6月14日,cnc 5,早班,WO2606145,218,3,0.3,其他,OP-136,
2026/6/3,cnc 1,早班,WO2606031,170,4,1.5,其他,OP-132,
2026/6/29,CNC02,夜班,WO2606292,208,8,1.4,未填,OP-104,
2026/6/5,CNC04,夜班,WO2606054,224,12,1.1,其他,OP-136,
6月27日,cnc 1,早班,WO2606271,184,4,0.9,品質異常調機,OP-114,
0629,cnc 6,早班,WO2606296,225,5,1.1,未填,OP-134,
0624,cnc 3,早班,WO2606243,168,2,4.5,其他,OP-112,
0627,CNC06,早班,WO2606276,173,5,1.6,未填,OP-146,
6月4日,二號機,早班,WO2606042,170,3,1.3,其他,OP-135,
0620,cnc 2,夜班,WO2606202,219,9,0.6,品質異常調機,OP-145,
6月14日,cnc 6,早班,WO2606146,177,4,1.2,未填,OP-138,
0610,四號機,早班,WO2606104,215,3,1.4,未填,OP-117,
6月22日,一號機,早班,WO2606221,190,4,1.4,未填,OP-101,
2026/6/17,cnc 4,早班,WO2606174,223,4,0.4,刀具更換,OP-116,
0616,cnc 3,夜班,WO2606163,192,6,2.4,其他,OP-129,含報廢
2026/6/1,三號機,早班,WO2606013,182,2,2.6,未填,OP-145,
0625,CNC05,早班,WO2606255,204,3,0.6,未填,OP-132,
0614,一號機,早班,WO2606141,222,7,1.7,未填,OP-131,
0621,五號機,早班,WO2606215,228,7,1.1,未填,OP-104,
6月25日,三號機,夜班,WO2606253,183,8,3.5,未填,OP-112,
6月26日,CNC01,夜班,WO2606261,170,6,1.7,未填,OP-121,
0622,CNC03,早班,WO2606223,194,4,3.9,其他,OP-135,
2026/6/20,cnc 3,早班,WO2606203,192,4,3.3,其他,OP-114,
6月22日,cnc 3,夜班,WO2606223,198,12,4.1,未填,OP-101,
0614,cnc 2,夜班,WO2606142,217,9,0.3,未填,OP-117,
2026/6/2,六號機,夜班,WO2606026,232,7,0.6,未填,OP-145,
0607,cnc 1,早班,WO2606071,199,5,1.6,未填,OP-103,
6月26日,二號機,早班,WO2606262,229,5,0.3,未填,OP-115,
2026/6/13,四號機,早班,WO2606134,191,5,0.9,未填,OP-107,含報廢
0607,cnc 4,早班,WO2606074,185,5,1.6,其他,OP-132,
2026/6/8,CNC01,早班,WO2606081,171,4,1.3,未填,OP-136,
0630,CNC06,早班,WO2606306,168,3,1.7,其他,OP-137,
6月27日,三號機,早班,WO2606273,174,4,3.3,換線,OP-147,
0606,CNC06,早班,WO2606066,195,5,1.3,未填,OP-148,
0616,二號機,夜班,WO2606162,196,6,1.7,定期保養,OP-112,
0609,CNC04,早班,WO2606094,177,4,1.8,其他,OP-105,
6月4日,cnc 4,早班,WO2606044,189,2,1.7,其他,OP-144,
0630,二號機,早班,WO2606302,237,7,0.6,未填,OP-144,含報廢
0610,cnc 2,夜班,WO2606102,205,9,0.8,未填,OP-140,
0606,六號機,夜班,WO2606066,205,11,1.7,未填,OP-141,
6月25日,四號機,夜班,WO2606254,194,10,1.5,未填,OP-114,
2026/6/26,CNC02,夜班,WO2606262,231,12,1.0,其他,OP-136,
0618,二號機,早班,WO2606182,218,3,0.9,其他,OP-120,
6月13日,二號機,夜班,WO2606132,198,11,1.0,其他,OP-126,含報廢
2026/6/19,二號機,早班,WO2606192,215,5,1.7,其他,OP-122,
6月4日,一號機,早班,WO2606041,207,5,1.7,未填,OP-101,
0605,CNC02,夜班,WO2606052,178,10,1.5,未填,OP-137,
0625,CNC05,夜班,WO2606255,195,11,0.5,未填,OP-109,
0614,CNC03,早班,WO2606143,178,3,3.7,未填,OP-132,
2026/6/30,CNC04,早班,WO2606304,196,6,1.7,未填,OP-126,
6月7日,cnc 2,早班,WO2606072,198,5,1.4,其他,OP-139,
6月3日,cnc 6,夜班,WO2606036,215,5,1.3,其他,OP-107,
0620,一號機,早班,WO2606201,220,7,1.4,未填,OP-137,
2026/6/6,CNC01,夜班,WO2606061,199,10,1.4,未填,OP-148,
